,Season,labels
0,Season 1,disgust
1,Season 1,disgust
2,Season 1,surprise
3,Season 1,neutral
4,Season 1,fear
5,Season 1,fear
6,Season 1,neutral
7,Season 1,surprise
8,Season 1,anger
9,Season 1,anger
10,Season 1,neutral
11,Season 1,neutral
12,Season 1,neutral
13,Season 1,surprise
14,Season 1,neutral
15,Season 1,neutral
16,Season 1,anger
17,Season 1,neutral
18,Season 1,neutral
19,Season 1,joy
20,Season 1,neutral
21,Season 1,neutral
22,Season 1,neutral
23,Season 1,surprise
24,Season 1,disgust
25,Season 1,neutral
26,Season 1,surprise
27,Season 1,disgust
28,Season 1,neutral
29,Season 1,neutral
30,Season 1,neutral
31,Season 1,neutral
32,Season 1,neutral
33,Season 1,neutral
34,Season 1,sadness
35,Season 1,neutral
36,Season 1,anger
37,Season 1,neutral
38,Season 1,fear
39,Season 1,neutral
40,Season 1,neutral
41,Season 1,sadness
42,Season 1,neutral
43,Season 1,surprise
44,Season 1,disgust
45,Season 1,anger
46,Season 1,neutral
47,Season 1,anger
48,Season 1,surprise
49,Season 1,neutral
50,Season 1,surprise
51,Season 1,anger
52,Season 1,surprise
53,Season 1,neutral
54,Season 1,neutral
55,Season 1,disgust
56,Season 1,disgust
57,Season 1,disgust
58,Season 1,neutral
59,Season 1,neutral
60,Season 1,anger
61,Season 1,sadness
62,Season 1,neutral
63,Season 1,neutral
64,Season 1,neutral
65,Season 1,anger
66,Season 1,anger
67,Season 1,anger
68,Season 1,anger
69,Season 1,sadness
70,Season 1,neutral
71,Season 1,anger
72,Season 1,surprise
73,Season 1,anger
74,Season 1,surprise
75,Season 1,neutral
76,Season 1,fear
77,Season 1,fear
78,Season 1,fear
79,Season 1,anger
80,Season 1,neutral
81,Season 1,sadness
82,Season 1,anger
83,Season 1,disgust
84,Season 1,neutral
85,Season 1,neutral
86,Season 1,neutral
87,Season 1,surprise
88,Season 1,neutral
89,Season 1,sadness
90,Season 1,neutral
91,Season 1,sadness
92,Season 1,neutral
93,Season 1,neutral
94,Season 1,neutral
95,Season 1,neutral
96,Season 1,neutral
97,Season 1,neutral
98,Season 1,surprise
99,Season 1,neutral
100,Season 1,neutral
101,Season 1,anger
102,Season 1,disgust
103,Season 1,disgust
104,Season 1,anger
105,Season 1,neutral
106,Season 1,disgust
107,Season 1,surprise
108,Season 1,surprise
109,Season 1,anger
110,Season 1,neutral
111,Season 1,neutral
112,Season 1,surprise
113,Season 1,surprise
114,Season 1,neutral
115,Season 1,neutral
116,Season 1,joy
117,Season 1,anger
118,Season 1,neutral
119,Season 1,disgust
120,Season 1,surprise
121,Season 1,neutral
122,Season 1,anger
123,Season 1,neutral
124,Season 1,neutral
125,Season 1,anger
126,Season 1,surprise
127,Season 1,neutral
128,Season 1,neutral
129,Season 1,neutral
130,Season 1,anger
131,Season 1,disgust
132,Season 1,disgust
133,Season 1,sadness
134,Season 1,neutral
135,Season 1,neutral
136,Season 1,neutral
137,Season 1,neutral
138,Season 1,disgust
139,Season 1,neutral
140,Season 1,disgust
141,Season 1,neutral
142,Season 1,anger
143,Season 1,sadness
144,Season 1,anger
145,Season 1,disgust
146,Season 1,surprise
147,Season 1,neutral
148,Season 1,neutral
149,Season 1,surprise
150,Season 1,neutral
151,Season 1,neutral
152,Season 1,neutral
153,Season 1,disgust
154,Season 1,disgust
155,Season 1,neutral
156,Season 1,neutral
157,Season 1,neutral
158,Season 1,joy
159,Season 1,anger
160,Season 1,neutral
161,Season 1,disgust
162,Season 1,neutral
163,Season 1,neutral
164,Season 1,disgust
165,Season 1,sadness
166,Season 1,neutral
167,Season 1,anger
168,Season 1,disgust
169,Season 1,neutral
170,Season 1,neutral
171,Season 1,fear
172,Season 1,neutral
173,Season 1,neutral
174,Season 1,surprise
175,Season 1,surprise
176,Season 1,neutral
177,Season 1,anger
178,Season 1,neutral
179,Season 1,neutral
180,Season 1,sadness
181,Season 1,neutral
182,Season 1,neutral
183,Season 1,joy
184,Season 1,disgust
185,Season 1,neutral
186,Season 1,neutral
187,Season 1,joy
188,Season 1,disgust
189,Season 1,fear
190,Season 1,anger
191,Season 1,neutral
192,Season 1,neutral
193,Season 1,disgust
194,Season 1,neutral
195,Season 1,anger
196,Season 1,anger
197,Season 1,neutral
198,Season 1,sadness
199,Season 1,sadness
200,Season 1,surprise
201,Season 1,anger
202,Season 1,disgust
203,Season 1,disgust
204,Season 1,neutral
205,Season 1,neutral
206,Season 1,disgust
207,Season 1,anger
208,Season 1,neutral
209,Season 1,neutral
210,Season 1,neutral
211,Season 1,sadness
212,Season 1,neutral
213,Season 1,anger
214,Season 1,surprise
215,Season 1,anger
216,Season 1,anger
217,Season 1,neutral
218,Season 1,neutral
219,Season 1,neutral
220,Season 1,neutral
221,Season 1,neutral
222,Season 1,surprise
223,Season 1,disgust
224,Season 1,neutral
225,Season 1,neutral
226,Season 1,surprise
227,Season 1,fear
228,Season 1,surprise
229,Season 1,disgust
230,Season 1,anger
231,Season 1,neutral
232,Season 1,anger
233,Season 1,anger
234,Season 1,disgust
235,Season 1,disgust
236,Season 1,disgust
237,Season 1,neutral
238,Season 1,disgust
239,Season 1,sadness
240,Season 1,fear
241,Season 1,neutral
242,Season 1,neutral
